Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1744734568.689	    80.558	0	264	0	0	fetch_page 0 GHCND
4	:	1744734568.696	    81.327	0	273	0	0	fetch_page 3000 GHCND
5	:	1744734568.697	    81.588	0	273	0	0	fetch_page 4000 GHCND
3	:	1744734568.694	    83.032	0	273	0	0	fetch_page 2000 GHCND
2	:	1744734568.691	    83.666	0	273	0	0	fetch_page 1000 GHCND
7	:	1744734650.027	    75.476	0	273	0	0	fetch_page 6000 GHCND
6	:	1744734649.253	    77.131	0	273	0	0	fetch_page 5000 GHCND
8	:	1744734650.289	    76.512	0	273	0	0	fetch_page 7000 GHCND
9	:	1744734651.730	    76.299	0	273	0	0	fetch_page 8000 GHCND
10	:	1744734652.361	    77.327	0	273	0	0	fetch_page 9000 GHCND
11	:	1744734725.505	    72.579	0	276	0	0	fetch_page 10000 GHCND
12	:	1744734726.388	    74.276	0	276	0	0	fetch_page 11000 GHCND
13	:	1744734726.803	    74.355	0	276	0	0	fetch_page 12000 GHCND
14	:	1744734728.033	    73.602	0	276	0	0	fetch_page 13000 GHCND
15	:	1744734729.692	    73.261	0	276	0	0	fetch_page 14000 GHCND
16	:	1744734798.088	    66.569	0	276	0	0	fetch_page 15000 GHCND
18	:	1744734801.161	    66.612	0	276	0	0	fetch_page 17000 GHCND
19	:	1744734801.638	    66.897	0	276	0	0	fetch_page 18000 GHCND
17	:	1744734800.667	   102.322	0	551	0	0	fetch_page 16000 GHCND
20	:	1744734802.958	   100.953	0	551	0	0	fetch_page 19000 GHCND
21	:	1744734864.660	    67.569	0	276	0	0	fetch_page 20000 GHCND
22	:	1744734867.778	    68.188	0	276	0	0	fetch_page 21000 GHCND
23	:	1744734868.539	    67.652	0	276	0	0	fetch_page 22000 GHCND
24	:	1744734902.993	    66.727	0	276	0	0	fetch_page 23000 GHCND
25	:	1744734903.914	    66.217	0	276	0	0	fetch_page 24000 GHCND
26	:	1744734932.233	    67.616	0	276	0	0	fetch_page 25000 GHCND
28	:	1744734936.195	    68.117	0	276	0	0	fetch_page 27000 GHCND
27	:	1744734935.969	    69.521	0	276	0	0	fetch_page 26000 GHCND
29	:	1744734969.725	    72.787	0	276	0	0	fetch_page 28000 GHCND
30	:	1744734970.135	    72.913	0	276	0	0	fetch_page 29000 GHCND
31	:	1744734999.853	    70.323	0	276	0	0	fetch_page 30000 GHCND
32	:	1744735004.314	    71.225	0	276	0	0	fetch_page 31000 GHCND
33	:	1744735005.494	    70.858	0	276	0	0	fetch_page 32000 GHCND
34	:	1744735042.516	    70.894	0	276	0	0	fetch_page 33000 GHCND
35	:	1744735043.051	    70.774	0	276	0	0	fetch_page 34000 GHCND
36	:	1744735070.180	    65.738	0	276	0	0	fetch_page 35000 GHCND
37	:	1744735075.541	    67.110	0	276	0	0	fetch_page 36000 GHCND
38	:	1744735076.356	    66.913	0	276	0	0	fetch_page 37000 GHCND
39	:	1744735113.413	    65.694	0	276	0	0	fetch_page 38000 GHCND
40	:	1744735113.832	    65.559	0	276	0	0	fetch_page 39000 GHCND
41	:	1744735135.923	    64.322	0	276	0	0	fetch_page 40000 GHCND
42	:	1744735142.654	    72.128	0	276	0	0	fetch_page 41000 GHCND
43	:	1744735143.272	    71.927	0	276	0	0	fetch_page 42000 GHCND
44	:	1744735179.110	    80.871	0	276	0	0	fetch_page 43000 GHCND
45	:	1744735179.394	    83.510	0	276	0	0	fetch_page 44000 GHCND
46	:	1744735200.249	    81.878	0	276	0	0	fetch_page 45000 GHCND
47	:	1744735214.787	    78.884	0	276	0	0	fetch_page 46000 GHCND
48	:	1744735215.203	    78.697	0	276	0	0	fetch_page 47000 GHCND
49	:	1744735259.994	    73.650	0	276	0	0	fetch_page 48000 GHCND
50	:	1744735262.908	    73.084	0	276	0	0	fetch_page 49000 GHCND
51	:	1744735282.131	    68.473	0	276	0	0	fetch_page 50000 GHCND
52	:	1744735293.675	    72.657	0	276	0	0	fetch_page 51000 GHCND
